count,x,y,radius,density
183,278.88,249.47,33.69,0.3
202,272.7,245.55,34.1,0.73
191,271.36,245.86,33.9,0.56
381,283.35,239.38,45.11,0.69
382,283.87,239.46,45.9,0.46
370,278.35,235.65,47.44,0.63
386,282.03,235.55,48.36,0.91
384,280.86,238.46,49.61,1.07
305,279.26,235.86,44.16,1.04
313,275.03,233.26,44.47,1.26
293,278.72,223.66,42.45,0.82
319,274.62,217.89,43.03,0.72
270,269.14,211.68,39.61,0.43
265,273.64,219.95,39.14,0.49
249,276.95,227.42,36.48,0.3
273,274.14,228.04,38.2,0.5
228,285.51,230.7,35.76,0.5
235,286.43,243.97,35.96,0.92
234,284.47,234.89,35.69,0.56
249,287.35,230.57,37.08,0.13
220,289.75,239.31,35.3,0.14
226,284.77,243.16,36.26,0.28
213,288.35,239,34.07,0.03
229,292.33,240.87,35.3,0.45
222,294.71,250.12,34.03,0.53
237,289.64,248.14,34.48,0.26
217,291.66,251.54,33.69,0.47
230,285.9,246.7,33.72,0.15
205,281.1,241.23,32.33,0.15
209,287.46,235.77,33.29,0.03
191,296.03,235.98,33,0
205,305.79,239.1,34.03,0.06
186,305.11,239.83,33.97,0
198,308.31,247.05,35.47,0
197,309.05,246.51,35.67,0.06
209,301.2,245.28,36.59,0.08
200,292.05,245.59,35.21,0.62
220,294.61,251.78,36.26,0.58
227,301.63,252.27,36.22,0.44
237,304.6,253.38,36.82,0.11
211,303.88,255.06,35.2,0.06
217,303.14,264.43,36.32,0.22
212,297.89,261.86,35.11,0.17
221,309.01,267.16,35.09,0.26
209,301.9,254.67,33.29,0.27
212,301.96,257.47,35.16,0.31
202,297.83,260.57,35.3,0.28
220,298.92,258.71,36.51,0.71
211,290.22,245.5,37.03,0.54
230,287.28,249.38,38.21,0.63
229,293.93,249.26,37.63,0.5
241,300.25,243.37,38.43,0.44
230,304.52,247.26,36.77,0.52
238,306.57,247.51,38.41,0.42
226,302.3,248.28,37.47,0.27
223,304.28,254.53,37.08,0.16
212,307.3,258.8,34.68,0.2
236,310.37,257.31,37.09,0.19
226,305.28,264.04,36.52,0.27
230,304.7,254.43,37.13,0.27
211,305.95,256.81,36.08,0.19
232,293.53,252.52,38.43,0.16
218,289.47,255.08,37.38,0.27
232,292.11,253.41,38.44,0.23
223,302.28,264.01,38.92,0.28
253,309.43,271.57,41.46,0.68
236,302.74,271.02,41.04,0.56
249,310.75,277.64,41.51,0.58
229,312.85,281.98,40.99,0.54
240,313.27,279.77,42.19,0.45
212,312.74,283.67,39.5,0.51
235,307.08,276.98,40.9,0.37
225,306.25,268.32,38.61,0.21
240,309.75,268,39.92,0.35
237,308.02,268.06,39.14,0.18
257,307.36,262.92,38.85,0.1
240,301.95,263.72,39.77,0.13
251,299.87,261.57,41.19,0.22
242,299.22,265.25,41.05,0.34
249,295.16,259.75,43.35,0.62
221,299.62,254.95,41.76,0.22
251,296.59,247.87,43.79,0.55
236,302.33,257.71,41.7,0.62
257,300.7,247.08,44.24,0.43
255,300.51,260.63,42,1
264,303.84,262.96,43.2,1.23
256,301.12,266.15,42.21,1.04
267,297.61,271.32,40.88,0.88
244,290.35,276.87,39.48,0.53
249,294.86,281.25,41.27,0.46
243,296.03,288.6,41.7,0.29
249,300.13,286.63,43.15,0.44
233,303.14,288.78,42,0.43
243,302.76,283.02,44.43,0.5
256,306.75,286.54,43.49,0.28
258,310.07,278.93,44.35,0.23
253,308.93,279.35,42.66,0.23
262,299.76,274.81,42.3,0.33
259,301.55,286.26,40.95,0.24
260,297.05,272.8,40.06,0.27
257,295.2,277.51,39.96,0.23
278,297.77,271.95,42.25,0.19
254,304.3,271.13,40.12,0.2
276,307.23,266.67,41.15,0.24
275,317.64,281.01,42.02,0.33
288,321.96,282.76,44.59,0.58
275,321.95,285.51,43.49,0.51
288,315.45,283.72,44.52,0.74
279,309.02,284.96,44.86,0.8
287,304.95,281.9,46.04,0.61
258,304.07,286,45.23,0.64
277,298.61,280.55,46.08,0.85
242,310.36,281.72,43.55,0.51
276,308.69,275.17,45.72,0.13
272,306.17,269.17,44.88,0.13
274,302.76,259.7,43.94,0.11
257,310.57,256.05,41.64,0.17
258,314.4,253.57,43.13,0.23
251,320.72,259.76,44.06,0.23
279,322.6,264.11,46.55,0.19
268,335.96,278.1,45.25,0.15
272,331.92,271.24,48.17,0.17
261,335,272.62,47.13,0.15
296,331.93,271.96,49.85,0.02
279,332.82,271.91,46.03,0
309,327.17,269.6,47.61,0.11
289,329.79,267.67,45.61,0.13
302,326.87,277.34,45.24,0.18
279,326.36,279.01,45.1,0.2
292,324.77,283.27,46.16,0.3
274,320.64,290.46,44.77,0.45
282,324.57,283.44,45.88,0.24
263,320.75,274.98,44.69,0.45
291,305.63,269.19,45.41,0.7
274,309,269.97,42.97,0.49
273,310.08,276.53,44.12,0.82
272,308.33,281.48,43.1,0.86
272,303.1,283.73,43.61,0.96
425,314.45,279.28,53.3,0.75
417,313.33,272.66,52.82,0.72
430,310.25,267.64,54.3,0.66
458,306.06,261.93,54.75,1.5
463,308.88,263.61,55.82,1.25
399,308.03,262.52,52.63,1.03
395,306.11,260.69,53.48,1.2
370,307.07,257.57,50.67,0.95
393,313.66,263.23,51.88,0.46
348,310.62,262.11,48.89,0.35
365,312.89,260.12,49.85,0.16
341,312.88,264.44,47.31,0.11
346,314.3,267.14,48.3,0.14
319,319.97,278.18,46.73,0.02
338,321.91,280.84,49.63,0.18
310,321.51,282.77,50.56,0.04
313,318.85,281.43,53.36,0.11
304,318.16,283.5,50.94,0.12
326,317.88,280.21,52.47,0.25
303,314.55,282.2,48.91,0.27
326,309.16,279.07,50.02,0.46
300,309.14,277.79,47.83,0.38
324,306.24,270.3,50.04,0.92
315,309.38,272.05,50.11,0.66
327,309.8,273.88,52.03,0.69
304,308.19,276.35,50.02,0.66
330,309.23,275.84,52.72,0.68
317,312.82,273.46,52.25,0.5
329,315.1,274.47,52,0.29
321,314.79,276,49.55,0.26
361,309.49,269.86,51.79,0.37
335,308.22,269.8,50.26,0.28
351,305.5,271.7,50.92,0.47
336,306.99,273.99,50.49,0.73
343,309.97,275.77,52.26,0.63
327,314.61,276.74,52.53,0.4
332,319.34,281.8,53.13,0.49
321,317.6,278.65,52.03,0.48
347,312.24,277,53.38,0.75
326,314.52,274.7,52.12,0.5
342,309.46,275.85,51.44,0.49
348,302.96,276.77,50.79,1.16
347,307.21,275.15,50.97,0.86
333,313.15,269.52,51.71,0.35
348,315.79,272.77,53.11,0.23
343,317.69,268.25,52.09,0.1
365,314.21,268.59,53.2,0.15
345,317.94,271.55,50.77,0.3
358,322.02,286.9,51.02,0.47
322,330.4,292.15,48.56,0.54
335,335.76,290.85,50.65,1.03
309,333.55,295.58,49.26,1.12
323,332.06,290.9,51.26,1.05
284,326.78,282.97,49.61,0.56
311,319.64,272.24,51.78,0.52
303,313.87,267.9,48.86,0.18
329,305.79,261.3,50.27,0.16
334,306.12,244.53,48.24,0.12
359,306.51,244.42,48.37,0.1
333,309.33,244.31,45.92,0.07
359,311.78,249.52,48.54,0.27
337,319.96,254.89,48,0.17
354,324.79,264.63,50.84,0.12
333,332.75,268.8,50.4,0.02
348,332.85,267.85,52.93,0.06
326,327.08,262.73,52.7,0.13
363,327.38,256.96,55.11,0.15
351,324.46,256.69,53.83,0.09
366,324.98,249.93,56.07,0.18
362,323.58,248.32,54.5,0.13
366,314.72,250.57,54.99,0.24
355,313.43,251.2,53.5,0.21
393,312.19,256.78,55.98,0.2
351,317.34,254.44,54.74,0.13
359,315.65,260.67,56.82,0.21
333,318.48,256.49,55.48,0.11
338,318.58,255.52,55.41,0.05
312,326.36,252.4,52.92,0.06
353,319.95,247.82,54.32,0.09
334,318.76,246.72,52.58,0.08
382,314.45,250.28,54.83,0
363,322.12,253.24,53.67,0
403,322.44,257.21,55.83,0.04
382,319.51,252.18,54.27,0.11
389,321.82,256.22,55.2,0.14
379,325.77,250.58,54.18,0.11
390,326.78,246.98,56.08,0.14
379,328.08,246.88,53.82,0.2
386,326.37,249.66,55.45,0.31
357,323.15,250.34,53.59,0.34
382,327.9,252.79,57.46,0.5
376,329.4,256.61,55.59,0.52
411,325.12,257.77,56.01,0.62
381,326.17,263.43,55.34,0.42
379,324.36,264.86,56.24,0.52
366,328.18,269.27,53.42,0.36
374,331.57,266.32,54.3,0.39
358,337.98,271.26,53.33,0.28
374,335.93,266.04,54.62,0.16
348,332.83,258.26,52.19,0.31
360,330.15,259.26,52.62,0.38
327,333.72,259.23,50.72,0.32
360,338.43,260.82,54.15,0.72
346,334.27,253.33,52.76,0.38
373,338.5,255.45,53.34,0.66
355,344.05,248.47,51.52,0.43
390,338.52,254.88,54.97,0.44
366,340.1,256.23,52.19,0.44
384,335.48,259.47,53.46,0.3
343,324.25,256.15,52.26,0.21
367,321.64,253.36,54.28,0.39
355,323.61,249.51,53.45,0.36
375,324.78,256.33,54.98,0.55
359,327.68,251.76,53.45,0.32
377,327.45,249.9,53.77,0.5
374,329.33,247.41,53.96,0.48
373,329.38,248.91,55.47,0.67
345,323.66,238.19,54.84,0.44
370,317.32,241.78,56.96,0.86
353,321.42,242.01,54.52,0.77
379,317.29,242.69,54.29,0.9
351,320.74,238.88,51.16,0.61
393,322.21,242.43,54.02,0.54
363,318.31,250.71,51.99,0.38
398,313.08,253.31,52.68,0.28
363,318.14,250.12,52.09,0.19
393,324.03,250.2,53.9,0.11
373,320.7,259.44,54.98,0.13
400,319.27,252.5,55.12,0.36
360,320.89,246.6,54.64,0.38
370,322.13,249.99,57.33,0.61
343,324.45,252.18,55.04,0.42
392,320.61,243.29,57.05,0.79
362,316.65,242.24,54.1,0.46
403,317.45,244.23,54.94,0.51
376,319.46,238.38,52.69,0.42
392,311.42,234.09,51.72,0.6
359,310.73,230.38,48.67,0.45
382,311.68,229.94,51.4,0.53
346,316.07,234.84,49.43,0.55
374,317.66,240.89,51.29,0.53
368,317.63,244.39,50.12,0.18
385,314.1,236.6,51.85,0.54
385,314.48,240,52.16,0.42
398,309.88,238.31,54.6,0.48
359,310.38,235.94,53.69,0.41
398,309.9,236.16,55.85,0.47
386,316.17,231.69,55.55,0.25
396,318.07,226.74,57.23,0.17
371,320.21,229.4,54.65,0.13
553,326.85,225.91,63.71,0.31
532,329.14,221.63,61.68,0.26
566,338.89,222.83,63.86,0.52
570,339.07,222.48,64.85,0.54
533,334.87,225.7,63.45,0.32
489,340.7,225.74,59.14,0.44
481,336.45,228.59,58.01,0.31
446,331.56,226.66,55.7,0.31
474,328.34,230.66,57.65,0.23
409,322.03,226.62,55.85,0.21
406,319.1,225.11,55.79,0.25
388,315.84,229.71,53.43,0.47
416,314.92,234.98,55.87,0.52
383,321.38,245.69,53.96,0.59
391,323.12,245.87,55.61,0.77
381,324.49,237.25,54.61,0.64
395,324.47,236.79,56.61,0.65
386,327.11,233.14,56.29,0.57
385,325.28,224.73,58.04,0.62
342,322.84,221.94,54.93,0.46
384,328.41,221.3,56.57,0.51
366,329.89,218.6,55.78,0.56
392,325.62,218.96,57.65,0.57
358,321.89,211.84,54.6,0.62
387,323,213.01,54.84,0.53
357,315.07,211.04,52.85,0.59
392,320.25,220.64,54.74,0.82
375,315.56,223.02,54.78,0.88
376,314.26,233.05,56.19,1.51
349,318.3,229.23,55.17,1.54
386,322.29,228.74,58.28,1.77
372,321.78,227.51,57.44,1.62
383,322.58,224.77,57.45,1.44
349,326.54,219,55.8,0.95
350,326.69,226.35,56.62,1.25
341,334.16,237.14,54.78,1.24
359,333.41,233.85,56.5,1.13
320,341.25,231.14,52.76,0.59
336,339.24,229.15,54.3,0.74
324,339.97,228.58,51.39,0.49
342,337.65,230.55,51.94,0.64
327,325.13,229.76,49.48,0.55
380,320.84,235.29,52.44,1.26
366,317.46,235.76,52.76,1
391,312.7,238.52,55.07,0.94
373,315.66,235.55,54.24,0.98
400,314.9,237.71,59.18,1
386,313.31,234.08,56.68,0.88
401,314.2,236.88,59.15,0.36
364,317.61,238.82,57.04,0.32
404,316.75,239.32,61.64,0.36
377,316.43,226.85,57.77,0.66
399,319.06,222.49,57.37,0.91
398,313.62,217.77,56.12,0.82
408,317.05,213.93,57.58,0.83
386,313.87,210.24,55.86,0.84
407,317.73,213.52,55.61,0.76
381,322.17,222.52,53.94,0.61
416,322.17,228.95,55.89,0.86
378,323.21,231.28,54.66,0.91
404,322.76,235.97,55.98,0.95
387,330.07,227.43,54.56,0.37
442,330.02,230.9,58.15,0.55
418,331.73,226.44,54.64,0.38
416,325.94,224.23,57.2,0.37
396,328.42,220.69,56.29,0.23
423,318.06,226.53,59.26,0.78
400,316.45,229.96,55.94,0.66
418,312.78,234.63,58.21,0.82
389,318.3,235.3,55.87,0.61
425,315.37,238.98,57.18,0.86
380,321.99,236.49,54.98,0.58
392,329.78,238.74,57.17,0.72
353,333.73,242.12,54.23,0.35
379,335.85,231.89,59.42,0.64
357,340.01,228.69,56.93,0.46
378,332.22,231.66,59.52,0.59
372,330.72,226.26,57.39,0.51
403,326.57,230.42,58.03,0.57
356,321.99,227.95,54.53,0.44
403,317.79,232.35,56.98,0.81
375,319.01,225.25,54.95,1.27
416,317.54,229.53,56.58,1.33
386,317.44,231.06,55.2,1.43
423,312.1,235.54,58.24,1.53
388,314.12,236.23,56.06,1.07
411,319.21,234.91,59.41,1.51
384,324.43,229.38,57.25,1.26
418,326.82,233.1,59.88,1.15
371,327.35,229.48,57.25,0.87
402,326.67,226.04,61.6,1.07
376,324.22,224.59,60.28,0.96
396,323.99,228.06,61.68,0.94
358,320.92,223.46,58.48,0.97
377,323,226.05,59.62,1.17
356,321.01,226.41,57.31,0.94
399,323.01,229.31,58.09,1.05
366,319.26,224.66,54.43,0.94
391,312,233.54,56.62,1.01
366,310.73,236.23,54.8,0.91
400,307.16,239.53,57.55,1.01
361,307.28,241.12,56.75,0.78
372,305.82,242.83,59.01,0.58
348,312.89,239.29,57.75,0.57
386,311.92,242.96,59.41,0.56
360,310.45,231.23,56.43,0.44
387,308.63,231.93,59.06,0.8
363,307.34,231.73,54.25,0.68
402,308.72,231.41,56.51,0.94
381,308.22,225.51,55.83,0.91
403,307.59,227.74,58.84,1.24
370,306.74,221.82,56.19,1.16
397,307.44,229.7,60.67,1.6
362,307.38,227.74,57.8,1.26
381,310.06,229,61,1.46
371,312.87,221.11,58.51,1.56
388,311.98,224.07,59.03,1.88
365,317.65,219.28,56.63,1.41
377,314.95,217.97,56.75,1.09
354,312.4,217.28,53.17,1
369,314.14,220.92,54.17,0.72
352,317.94,210.77,51.75,0.91
373,316.29,211.99,54.24,1.01
370,316.62,214.85,51.53,0.37
398,316.33,225.88,53.4,0.58
375,315.99,231.05,52.78,0.45
403,312.4,240.15,55.11,0.74
381,318.21,248.43,51.6,0.85
424,315.35,252.23,54.56,1.26
396,315,253.14,52.12,1.15
423,313.76,258.94,55.99,1.39
414,311.2,260.21,53.72,1.41
430,312.61,251.75,56.22,1.19
403,307.6,247.51,54.07,1.63
428,305.96,247.13,56.3,2.2
590,313.99,244.68,64.68,1.61
574,310.75,245.81,65.35,2.25
565,312.04,244.01,63.78,1.79
594,307.46,242.82,65.89,2.49
567,311.74,237.57,65.02,2.21
477,310.68,230.27,59.84,1.52
463,311.94,226.04,57.6,1.11
425,310.91,226.12,54.67,0.91
461,315.37,222.91,55.94,0.89
401,315.83,221.65,51.85,0.68
435,311.72,227,54,0.59
408,311.16,228.54,52.04,0.46
431,306.97,232.31,53.38,0.67
375,302.45,225.21,50.5,0.42
392,304.37,227.53,52.51,0.53
359,308.68,231.34,50.08,0.2
383,307.47,238.18,51.71,0.41
334,307.92,239.14,49.36,0.24
360,309.5,236.78,51.63,0.56
326,314.29,234.63,47.32,0.53
352,312.34,228.53,50.69,0.63
329,311.87,221.49,48.1,0.75
362,313.4,217.38,49.91,0.8
339,315.13,219.92,49.84,0.7
358,314.93,220.65,52.55,0.61
332,310.33,229.79,50.22,0.78
366,314.57,238.06,52.75,0.95
342,314.25,241.57,50.89,1.06
362,314.59,242.87,52.18,1
334,308.8,234.23,49.3,0.87
375,307.34,234.37,52.73,1.02
341,311.07,230.96,52.34,0.54
366,313.68,226.92,53.26,0.39
348,312.72,226.02,52.14,0.54
371,306.21,228.51,54.81,0.69
363,305.34,230.8,53.5,0.71
381,306.63,226.99,54.72,0.88
344,300.95,224.56,53.49,0.39
383,299.86,222.84,56.22,0.75
351,300.59,222.69,53.71,0.61
388,297.43,217.82,54.95,0.86
343,298.11,220.13,53.41,0.82
355,298.27,227.39,52.1,1.07
340,298.63,236.11,50.37,0.89
373,299.9,240.02,52.47,1.09
351,300.48,237.64,50.74,0.69
373,302.76,240.52,53.98,0.63
341,302.3,241.52,51.94,0.73
370,302.24,237.65,54.3,0.44
310,304.73,238.22,49.28,0.47
338,304.88,239.79,52.01,0.54
314,302.4,235.94,50.07,0.54
358,298.5,239.55,52.05,0.4
325,299.54,233.23,49.77,0.26
343,299.7,234.25,51.18,0.23
317,293.77,228.67,49.12,0.16
346,292.62,228.27,51.85,0.31
326,298.78,223.57,49.22,0.3
340,301.95,229.2,50.32,0.16
319,301.85,227.88,46.29,0.02
345,305.35,232.6,47.95,0.1
331,310.71,228.77,46.26,0.09
369,306.19,226.36,48.77,0.08
323,305.86,227.06,46.85,0.11
341,303.08,224.32,48.17,0.15
319,308.06,221.81,46.98,0.11
347,308.75,214.48,48.58,0.08
319,314.28,211.75,46.7,0.09
336,317.41,217.19,49.79,0.1
305,316.13,215.07,48.88,0.04
348,313.87,215.45,51.06,0.06
312,314.45,217.98,49.37,0.06
336,313.19,215.43,52.64,0.04
316,306.68,218.2,50.92,0.08
359,307.29,217.34,53.99,0.11
348,303.97,215.9,50.99,0.12
358,303.27,218.94,52.29,0.1
340,303.06,220.5,49.9,0.14
387,300.05,219.92,53.21,0.56
325,297.99,225.09,50.79,0.57
402,303.59,226.47,56.98,0.86
366,304.15,228.9,54.29,0.99
405,307.48,231.13,56.35,1.12
397,308.97,232.12,52.94,1.11
431,312.7,227.38,54.01,0.67
375,313.96,226.46,50,0.52
401,312.28,232.52,51.06,0.29
365,314.29,232.67,48.25,0.15
381,311.87,235.8,50.97,0.24
351,311.01,231.96,47.17,0.28
389,309.87,234.88,51.04,0.31
368,309.66,236.28,49.82,0.38
389,308.4,232.26,51.58,0.39
345,304.88,229.19,50.66,0.14
366,303.03,224.93,54.17,0
350,298.01,225.27,53.81,0
385,301.26,224.28,58.51,0.05
369,299.57,224.61,55.07,0.05
401,300.28,228.51,56.77,0.18
368,298.69,229.8,54.19,0.2
385,299.63,234.51,56.61,0.34
357,301.69,229.59,55.18,0.27
390,299.96,230.2,55.86,0.36
368,301.09,232.12,53.93,0.45
392,302.71,235.15,55.87,0.7
370,300.78,236.37,52.64,0.51
389,302.82,241.75,54.39,0.77
368,300.03,243.81,50.88,0.81
393,298.73,246.84,51.85,1.02
352,296.68,244.13,47.78,0.57
391,294.23,245.47,51.66,0.74
354,292.09,242.97,48.47,0.39
401,292.02,249.04,52.16,0.82
359,289.22,249.77,48.54,0.64
380,297.57,250.86,50.69,0.73
343,297.43,250.42,48.72,0.7
386,303.13,249.47,52.87,0.78
352,305.47,247.2,50.76,0.75
373,302.29,244.82,52.86,0.98
360,302.05,242.56,51.39,0.88
407,300.52,241.03,53.33,0.64
368,296.92,237.83,49.18,0.41
383,297.05,233.17,51.96,0.4
362,289.88,229.42,49.64,0.26
376,292.72,233.43,51.74,0.41
355,292.25,231.77,48.79,0.18
376,295.82,232.05,51.63,0.17
351,295.03,231.16,48.91,0.1
395,296.64,237.71,51.19,0.9
353,294.92,234.53,46.82,0.38
395,296.7,229.98,50.34,0.26
386,298.26,231.28,47.31,0.21
426,299.16,236.19,52.85,0.76
379,295.74,238.05,52,0.63
393,295.33,241.57,54.22,0.74
563,302.98,246.55,62.9,1.11
544,302.43,249.22,63.25,1.61
534,303.72,252.18,62.29,1.85
529,304.6,253.06,61.7,1.57
533,306.54,248.24,59.86,0.85
450,308.94,248.35,53.06,0.45
463,307.32,239.83,54.87,0.35
432,306.72,237.03,52.83,0.27
460,307.37,239.02,55.24,0.29
400,304.42,241.08,51.23,0.23
430,305.81,241.94,54.19,0.44
400,301.55,245.85,51.39,0.49
419,305.56,247.24,53.78,0.56
386,299.77,249.04,51.24,0.57
400,301.05,243.42,54.68,0.93
393,302.7,245.07,53.01,1.15
420,307,245.1,54.17,1.24
368,302.36,246.84,49.67,1.19
394,305.41,249.58,51.24,1.35
373,310.66,251.66,48.67,0.68
422,308.77,252.37,54.23,0.65
392,308.79,253.72,52.54,0.46
424,306.4,251.41,55.76,0.65
398,307.02,251.27,54.18,0.63
424,307.99,248.73,54.94,0.58
384,305.61,243.89,49.58,0.69
421,303.65,246.75,50.18,0.92
369,298.82,243.28,46.91,0.77
396,297.54,244.74,48.97,1.35
350,291.42,243.29,46.66,0.94
411,293.42,242.13,49.68,0.99
360,292.08,242.45,47.09,1.04
402,293.33,247.08,50.51,1.52
397,288.9,242.19,50.52,1.07
414,294.52,240.56,51.01,0.78
382,290.44,239.97,50.79,0.77
440,294.76,239.69,55.18,0.53
411,296.64,241.35,52.3,0.46
429,297.02,239.88,57,0.4
414,297.34,244.05,56.25,0.6
427,297.95,243.41,59.23,0.91
370,297.32,246.05,55.19,0.98
416,295.02,248.35,58.37,1.39
407,290.5,254.37,55.49,1.48
437,298.44,254.19,58.09,1.21
406,298.9,258.99,56.11,1.37
432,298.68,254.04,59.51,1.31
410,296.97,253.56,55.9,1.02
427,298.17,250.7,58.95,1.19
379,299.03,251.2,54.75,0.55
430,298.41,249.22,56.74,0.67
392,297.84,248.17,53.79,0.65
421,300.26,247.53,59.14,0.88
373,302.21,244.02,54.53,0.5
423,303.64,242.65,56.83,0.53
389,302.87,242.48,55.7,0.68
435,302.65,244.73,60.84,1.35
404,300.51,244.57,56.41,0.92
460,295.47,243.71,61.02,2.08
432,289.33,248.14,58.01,1.83
463,287.08,248.86,61.35,2.09
427,283.57,245.73,57.28,1.66
465,283.88,244.64,60.32,1.81
423,288.34,244.13,54.99,1.73
439,292.92,243.97,56.99,1.4
382,298.97,246.06,52.19,1.07
428,299.82,245.43,55.21,1.14
382,296.38,245.28,53.54,0.99
417,297.11,245.74,56.2,0.64
361,292.92,249.77,54.65,0.77
409,292.02,247.76,58.75,0.94
388,288.99,250.75,56.34,1.17
417,290.61,250.27,59.66,1.46
379,292.59,242.79,58.08,1.34
423,290.08,244.13,59.85,1.55
408,290.61,243.91,58.38,1.32
439,297.1,243.54,61.45,1.3
405,298.94,240.86,57.07,0.68
459,301.84,240.01,60.75,0.77
419,305.04,237.48,59.33,0.51
465,302.87,236.47,63.06,0.54
411,304.69,237.13,58.03,0.34
437,307.28,241.55,62.12,0.34
395,305.31,246.79,57.14,0.21
444,304.72,243.57,59.25,0.32
409,296.87,244.6,57.41,0.7
443,298.28,242.31,62.06,0.82
413,295.27,242.93,58.44,1.01
456,295.62,242.18,61.43,1.17
409,295.35,243.34,57.49,1.08
444,296.58,243.57,61.95,1.26
417,293.53,247.41,59.3,1.45
445,294.29,245.07,62.59,1.61
402,295.03,247.36,59.14,1.4
432,299.38,245.34,61.86,1.5
418,300.8,248.82,58.83,1.6
442,302.64,244.4,62.02,1.56
427,305,247.05,59.23,1.38
467,306.61,246.59,62.74,1.32
409,302.62,243.39,61.22,1.16
435,301.67,242.28,63.65,1.49
413,304.37,245.44,59.9,1.3
452,302.85,244.48,60.58,1.14
437,299.9,244.79,60.22,1.43
454,301.9,249.68,62.68,1.8
418,298.81,251.21,61.16,1.96
441,297.4,246.56,64.2,2.27
423,295.32,248.45,62.81,2.1
466,298.75,247.57,66.13,2.27
418,299.15,248.41,61.69,1.78
457,299.97,246.57,66.08,1.71
429,299.46,243.06,62.54,1.65
470,301.5,242.09,68.77,1.89
447,295.71,240.48,66.04,2.48
451,296.83,239.42,70.73,2.69
417,297.7,237.57,68.48,2.77
459,298.82,237.03,72.64,3.01
433,299.85,238.7,68.11,2.41
486,302.57,242.2,70.99,2.2
473,303.69,245.24,67.22,1.73
502,304.33,243.55,70.77,1.81
449,305.13,247.26,64.6,0.99
485,309.55,246.14,69.46,1.37
457,312.77,251.02,64.78,1.62
493,312.52,249.65,69.3,1.96
453,309.14,248.43,67.91,1.58
500,309.49,247.12,71.19,1.63
470,308.48,248.35,67.82,1.58
522,305.94,248.11,71.43,1.67
469,301.75,250.35,66.73,1.38
490,299.1,246.94,71.7,1.97
452,298.91,246.2,67.67,1.61
486,299.33,250.38,71.51,2.2
444,298.83,254.24,66.69,1.69
465,300.77,249.17,69.57,1.31
660,307.46,251.16,74.73,1.69
663,309.26,250.48,73.53,1.48
679,310.14,249.22,73.23,1.5
683,308.24,248.71,72.87,1.58
688,309.79,248.26,73.2,1.68
572,308.43,251.46,68.12,1.37
588,308.21,248.36,71.74,1.83
535,307.56,246.58,66.79,1.59
550,308.27,246.41,70.55,1.89
462,306.64,248.5,67.24,1.64
484,308.84,247.72,72.28,1.69
448,310.23,251.89,66.9,1.49
467,308.72,249.63,70.27,1.1
436,306.83,249.86,66.37,1.04
478,306.36,251.22,70.65,1.36
446,305.05,251.74,69.88,1.4
479,302.88,249.38,73.05,2.07
429,303.15,248,68.94,1.32
460,305.55,246.43,71.58,1.56
428,309.61,251.7,64.02,1.66
474,309.25,251.38,68.46,1.88
431,309.15,251.27,64.2,1.2
495,307.58,247.22,68.49,1.3
465,311.22,250.97,65.7,1.07
497,310.46,249.37,69.93,1.06
446,309.44,246.77,67.65,0.99
482,308.73,247.91,71.05,1.11
437,306.76,246.98,65.89,0.96
483,307.65,245.53,68.46,1.04
428,307.71,246.14,62.71,0.94
488,304.71,248.36,66.81,1.23
446,302.6,243.78,65.54,0.82
463,303.08,243.8,70.91,1.02
428,302.82,244.33,67.82,0.91
463,304.05,244.43,71.13,1.01
460,306.31,243.94,66.26,0.85
492,305.7,243.31,73.1,0.93
468,307.13,246.38,69.28,0.75
482,304.42,241.45,75.21,0.82
445,303.86,242.21,72.75,0.87
515,305.82,241,74.71,0.87
460,306.05,239.6,70.04,0.47
509,304.94,241.46,73.33,0.74
463,307.42,243.68,70.14,0.76
477,305.68,244.73,72.88,0.93
451,303.23,245.04,70.14,0.8
452,302.12,247.22,72.14,1.65
418,300.56,248.68,66.54,1.34
443,302.86,250.74,72.55,2.29
417,305.94,252.95,68.2,2.24
472,306.08,253.06,70.9,2.81
429,306.84,252.09,67.65,1.91
462,305.15,249.02,73.37,2.37
444,307.03,251.08,72.06,2.07
480,307.4,250.19,74.67,2.29
440,308.54,250.43,69.66,1.69
484,306.32,247.76,72.41,1.74
446,307.19,245.78,68.46,0.89
478,306.43,244.6,71.33,0.93
455,303.26,247.59,70.16,1.08
502,305.25,243.42,74.45,1.06
446,302.84,242.04,67.16,0.8
479,307.17,245.84,71.27,0.93
441,306.99,251.05,69.64,0.85
477,306.49,252.07,73.96,1.11
445,307.83,255.8,71.2,1.01
495,307.27,254.85,75.29,1.26
464,304.17,257.49,69.34,1.4
508,305.75,255.44,73.29,1.73
498,304.38,253.93,71.01,1.38
534,306.58,250.76,74.99,1.32
487,304.53,247.93,72.12,1.18
546,306.45,244.2,76.79,1.28
512,306.59,245.43,73.92,1.08
525,307.13,244.09,76.98,1.17
496,306.33,248.64,72.7,1.31
524,305.24,246.81,75.21,1.46
476,304.58,244.81,73.28,1.08
506,301.1,244.69,75.84,1.38
463,302.72,245.05,71.46,0.6
510,303.75,243.42,75.52,0.78
472,306.06,244.66,70.53,0.4
511,304.83,243.16,75.7,0.98
501,305.48,243.55,73.46,0.61
529,306.29,244.45,77.18,1
490,308.67,248.97,76.3,1.1
527,310.06,248.54,75.2,0.98
491,309.2,250.33,71.22,0.79
