count,x,y,radius,density
362,381.18,249.96,53.09,0
361,380.67,245.72,53.21,0
355,386.17,239.23,51.47,0
335,399.91,237.14,49.63,0.08
318,410.15,232.49,48.33,0.08
313,404.34,235.29,48.89,0.08
301,407.3,237.17,48.61,0.08
269,400.76,238.22,46.6,0.09
268,400.7,250.01,47.24,0.34
261,405.46,253.2,47.22,0.51
254,405.55,250,47.39,0.55
260,404.21,248.28,47.38,0.42
269,391.64,251.34,46.58,0
277,391.91,252.06,47.1,0
284,379.12,252.22,47.27,0
216,329.47,246.04,40.79,0
192,323.45,249.31,39.96,0
174,327.64,238.73,34.61,0
157,320.96,251.43,32.95,0
136,330.89,255.89,32.17,0
130,311.06,248.94,32.68,0
135,313.51,258.85,31.58,0
135,317.37,261.15,31.43,0
126,325.79,253.18,29.44,0
137,325.9,259.4,29.26,0
127,317.66,272.11,29.07,0
116,316.49,269.48,27,0
106,302.75,274.99,26.25,0
109,303.34,275.63,28.07,0
96,290.31,261.31,29.97,0.17
95,294.78,246.78,29.72,0.17
93,288.91,246.69,29.73,0.54
92,290.52,238.69,29.44,0.44
96,289.13,239.2,29.21,0.45
88,286.14,241.92,27.96,0.46
88,279.43,253.04,29.63,0
91,264.83,247.13,30.69,0
93,268.63,247.97,30.46,0
101,286.08,241.89,28.62,0.8
103,306.21,247.86,28.18,0.6
99,316.51,253.17,28.39,0.14
99,328.42,258.66,28.2,0.21
104,345.23,274.68,27.71,0
102,340.03,269.35,28.97,0.17
90,348.99,261.48,27.78,0
92,339.5,249.14,27.71,0.14
88,331.3,238.35,26.91,0.07
94,298.59,227,28.23,0
89,297.05,224.52,27.66,0
87,295.56,215.84,28.46,0
87,297.15,216.63,28.02,0
89,303.84,225.04,27.91,0
87,307.44,244.21,28.14,0.04
81,309.62,238.78,27.09,0.04
76,294.75,243.06,26.74,0.04
66,286.33,245.9,24.6,0.04
57,262.85,246.19,23.73,0
53,273.66,248.95,24.21,0
48,280.24,261.23,21.12,0
46,264.28,269.26,21.33,0
55,283.74,253.08,21.86,0
57,301.87,236.06,20.71,0
66,299.75,231.87,20.42,0
68,302.69,219.8,20.66,0
72,307.8,211.12,21.14,0
69,307.1,209.89,20.86,0
69,299.47,210.87,21.38,0
68,298.93,213.51,20.69,0
70,280.37,234.97,23.37,0.21
65,296.94,237.6,22.25,0
63,294.84,243.76,21.91,0
76,277.49,247.92,24.17,0
72,292.47,242.9,25.73,0
76,277.22,252.68,24.72,0.12
84,282.07,252.63,24.72,0.12
88,293.62,234.41,25.22,0
83,275.86,244.15,24.72,0.2
81,275.63,245.61,23.3,0.21
80,278.95,262.97,22.41,0.09
72,283.32,274.62,22.07,0.23
236,328.87,266.68,34.58,0
241,337.4,268.95,35.94,0.03
245,340.12,267.07,37,0.08
252,334.71,267.03,37.26,0
256,340.4,268.83,35.59,0.08
200,330.5,273.82,31.76,0
175,305.37,272.76,30.22,0
181,310.14,277.9,30.61,0
191,321.09,277.93,30.2,0
159,343.25,281.78,27.6,0
155,352.08,279.88,26.87,0
152,356.55,283.86,26.38,0
144,358.44,295.57,26.17,0
133,360.57,279.58,26.38,0
132,363.65,283.37,26.21,0
125,354.61,287.19,27.46,0
128,352.01,285.24,27.33,0
